Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,USA,35,35201010,17653,ADMA BIOLOGICS INC,899104,488.678,1.218,80.898,426.454,1.813,236.621,17.15,197.673,2024
A,USD,USA,35,35201010,17910,SCORPIUS HOLDINGS INC,42237K508,39.178,17.436,11.113,6.243,14.327,5.083,0.33,-32.808,2024
A,USD,USA,35,35203010,17928,IQVIA HOLDINGS INC,46266C105,26899,1250,13229,15405,,176.1,196.51,1373,2024
I,USD,USA,35,35201010,17998,BLUEBIRD BIO INC,09609G209,460.232,185.511,169.357,83.807,94.252,9.728,8.34,-240.715,2024
A,USD,USA,35,35201010,18159,AGIOS PHARMACEUTICALS,00847X104,1663.199,16.781,40.207,36.498,301.286,57.156,32.86,673.725,2024
A,USD,USA,35,35202010,18162,ESPERION THERAPEUTICS INC,29664W105,343.821,104.902,486.31,332.314,46.238,195.852,2.2,-51.745,2024
A,USD,USA,35,35202010,18172,TRAWS PHARMA INC,68232V884,24.962,0,0,0.226,130.311,3.651,8.88,-166.523,2024
I,USD,USA,35,35202010,18173,EVOKE PHARMA INC,30049G302,17.519,5.06,0.101,10.249,0.016,1.486,4.42,-5.352,2024
A,USD,USA,35,35202010,18204,ANI PHARMACEUTICALS INC,00182C103,1283.697,11.211,619.469,614.376,48.581,21.108,55.28,-18.522,2024
A,USD,USA,35,35201010,18315,PRECIGEN INC,74017N105,145.266,0.956,4.546,3.925,53.07,292.869,1.12,-126.235,2024
A,USD,USA,35,35202010,18424,LIPOCINE INC,53630X203,22.511,0,0,11.198,7.352,5.348,4.88,0.008,2024
A,USD,USA,35,35201010,18562,FATE THERAPEUTICS INC,31189P102,440.694,7.416,77.849,13.631,135.001,113.928,1.65,-186.262,2024
A,USD,USA,35,35201010,18658,MACROGENICS INC,556099109,261.655,4.864,32.597,149.962,177.194,62.82,3.25,-66.966,2024
A,USD,USA,35,35202010,18685,AMERICANN INC,30588107,14.063,5.095,4.191,1.275,,24.392,0.0335,-1.254,2024
A,USD,USA,35,35103010,18689,VEEVA SYSTEMS INC,922475108,7339.756,9.969,65.806,2746.619,693.078,162.584,233.26,714.138,2024
A,USD,CYM,35,35201010,18878,CRESCENT BIOPHARMA INC,G2545C104,11.091,0.067,0,0,14.26,64.484,0.249,-37.879,2024
A,USD,USA,35,35202010,18888,AMNEAL PHARMACEUTICALS INC,03168L105,3501.445,340.255,2252.884,2793.957,190.714,309.881,7.92,-116.886,2024
A,USD,USA,35,35201010,18930,KARYOPHARM THERAPEUTICS INC,48576U205,164.418,24.864,243.159,145.237,143.232,126.201,0.6763,-76.422,2024
A,USD,USA,35,35201010,18938,XENCOR INC,98401F105,951.945,51.456,180.497,110.493,227.686,70.256,22.98,-232.618,2024
A,USD,USA,35,35201010,18947,VERACYTE INC,92337F107,1300.035,7.5,43.237,445.764,69.294,77.773,39.6,24.138,2024
A,USD,USA,35,35201010,19135,ZEO SCIENTIFIX INC,68621D206,1.643,0.685,0.008,4.62,0.164,6.345,1.7,-4.705,2024
