Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,SGD,SGP,45,45203030,101555,ACMA LTD,SG1BB6000006,8.827,1.045,0.106,9.421,,-0.811,42.391,2024
A,GBP,GBR,45,45203030,101625,NORTHAMBER PLC,GB00B2Q99X01,38.4,0,0,56.008,,-1.329,27.413,2024
A,JPY,JPN,45,45203015,101651,HIROSE ELECTRIC CO LTD,JP3799000009,416866,1048,4153,189420,13453,33033.149,33.8355,2024
A,JPY,JPN,45,45203015,101754,NIPPON ELECTRIC GLASS CO LTD,JP3733400000,695163,45777,65488,299237,7881,12091.47,80.7157,2024
A,EUR,FIN,45,45102010,101828,TIETO OYJ,FI0009000277,3054.3,385.4,712.2,2802.6,99.8,-62.8,118.595,2024
A,JPY,JPN,45,45203015,101869,JAPAN AVIATION ELECTRONICS,JP3705600009,215444,6000,31000,221644,11268,11591.869,67.4008,2024
A,CHF,CHE,35,35203010,101870,SIEGFRIED HOLDING LTD,CH1429326825,1933.722,0,490.1,1294.573,41.115,160.064,4.367,2024
A,JPY,JPN,45,45203010,101890,NIPPON SIGNAL CO LTD,JP3716000009,166240,19203,4,106859,3252,8503.662,62.3717,2024
A,JPY,JPN,45,45203010,101891,SHIMADZU CORP,JP3357200009,672177,4903,6844,539047,18225,53777.213,288.918,2024
A,EUR,BEL,45,45203010,101922,BARCO NV,BE0974362940,1228.857,59.05,44.861,946.59,130.892,62.957,88.602,2024
I,ZAR,ZAF,35,35202010,101933,ADCOCK INGRAM HOLDINGS LTD,ZAE000123436,8354.883,42.46,238.08,9643.128,,814.009,146.763,2024
A,EUR,FRA,45,45102010,101944,CAPGEMINI SE,FR0000125338,25660,1125,4952,22096,,1671,169.951,2024
A,JPY,JPN,45,45203010,101967,IKEGAMI TSUSHINKI CO LTD,JP3132000005,28841,5965,3732,20734,1413,235.943,6.4099,2024
A,JPY,JPN,35,35202010,101975,KAKEN PHARMACEUTICAL CO LTD,JP3207000005,190422,3850,0,94035,18725,13945.158,38.4039,2024
A,JPY,JPN,35,35202010,102025,SUMITOMO PHARMA CO LTD,JP3495000006,742604,49794,264452,398832,49900,23634.782,397.2902,2024
A,EUR,ESP,45,45201020,102042,AMPER SA,ES0109260531,408.406,46.109,32.367,419.466,8.558,3.948,1496.663,2024
A,GBP,GBR,45,45203010,102121,SYNECTICS PLC,GB0007156838,65.842,0.701,1.189,55.809,2.853,3.179,16.902,2024
A,JPY,JPN,45,45203010,102141,AZBIL CORP,JP3937200008,315072,4862,620,300378,12726,40955.273,516.7807,2024
A,JPY,JPN,45,45203015,102142,MAXELL LTD,JP3791800000,164514,1626,17210,129806,5679,4090.203,43.1256,2024
A,JPY,JPN,35,35202010,102156,TSUMURA & CO,JP3535800001,464380,5285,65051,181093,8355,32428.374,75.7384,2024
A,CHF,CHE,35,35103010,102171,ASCOM AG,CH0011339204,189.9,0,0,286.7,36.7,3.7,35.919,2024
A,JPY,JPN,45,45203015,102248,NIPPON CHEMI-CON CORP,JP3701200002,162702,37373,40865,122684,4228,37.363,21.3282,2024
A,JPY,JPN,45,45203010,102288,ANRITSU CORP,JP3128800004,159826,570,3454,112979,9879,9257.1,128.9921,2024
A,JPY,JPN,45,45203010,102322,KYOSAN ELECTRIC MFG CO LTD,JP3248800009,126005,21200,11800,85367,3838,4784.053,62.7172,2024
A,JPY,JPN,45,45203015,102328,CANON ELECTRONICS INC,JP3243200007,141891,286,543,100656,3126,7655.643,40.8972,2024
A,JPY,JPN,45,45301020,102340,SANKEN ELECTRIC CO LTD,JP3329600005,259067,27734,35407,121619,12484,50934.425,23.1387,2024
A,JPY,JPN,45,45203015,102359,NICHICON CORP,JP3661800007,192582,9200,16663,175751,7230,5877.306,67.16,2024
A,JPY,JPN,45,45202030,102385,TOSHIBA TEC CORP,JP3594000006,346371,14994,25631,577023,23324,29937.221,52.9521,2024
